StandardAnalyte,StationName,SampleDate,SampleType,SourceType,AnalysisGroup,SampleMedia,StandardResult,StandardUnit,FinalQualifier,StandardDetLimit
"Magnesium, total",FE-4023,9/27/16,Primary,S,Metals,SW,2900,ug/L,2,200
"Manganese, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,378,ug/L,2,5
"Manganese, total",FE-4023,9/27/16,Primary,S,Metals,SW,388,ug/L,2,5
"Mercury, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Mercury, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Molybdenum, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,1,ug/L,2,0.5
"Molybdenum, total",FE-4023,9/27/16,Primary,S,Metals,SW,1,ug/L,2,0.5
"Nickel, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Nickel, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Potassium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-4023,9/27/16,Primary,S,Metals,SW,500,ug/L,2,200
"TDS, measured",FE-4023,9/27/16,Primary,S,Physical,SW,188000,ug/L,2,10000
TSS,FE-4023,9/27/16,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.1,ug/L,2,0.1
"Selenium, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,2,0.1
"Silica, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,6100,ug/L,2,200
"Silica, total",FE-4023,9/27/16,Primary,S,Metals,SW,6200,ug/L,J-,200
"Silver, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,2000,ug/L,2,200
"Sodium, total",FE-4023,9/27/16,Primary,S,Metals,SW,2000,ug/L,2,200
"Strontium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,424,ug/L,2,5
"Strontium, total",FE-4023,9/27/16,Primary,S,Metals,SW,426,ug/L,2,5
Sum of Anions,FE-4023,9/27/16,Primary,S,General Chemistry,SW,2.6,meq/L,2,-9999
Sum of Cations,FE-4023,9/27/16,Primary,S,General Chemistry,SW,2.6,meq/L,2,-9999
"Thallium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-4023,9/27/16,Primary,S,General Chemistry,SW,35600,ug/L,2,2000
"Vanadium, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-4023,9/27/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-4023,9/27/16,Primary,S,Metals,SW,190,ug/L,2,10
"Zinc, total",FE-4023,9/27/16,Primary,S,Metals,SW,210,ug/L,2,10
"Oxygen, Dissolved",FE-4023,9/27/16,Field Measurement,S,Physical,SW,9710,ug/L,1,-9999
ORP,FE-4023,9/27/16,Field Measurement,S,Physical,SW,316.8,mV,1,-9999
pH,FE-4023,9/27/16,Field Measurement,S,Physical,SW,7.45,SU,1,-9999
Specific Conductance,FE-4023,9/27/16,Field Measurement,S,Physical,SW,267.1,uS/cm,1,-9999
Temperature,FE-4023,9/27/16,Field Measurement,S,Physical,SW,9.8,C,1,-9999
Turbidity,FE-4023,9/27/16,Field Measurement,S,Physical,SW,1.38,NTU,1,-9999
"Aluminum, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,30,ug/L,U,30
"Aluminum, total",FE-4023,3/21/17,Primary,S,Metals,SW,80,ug/L,U,30
"Antimony, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Barium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,19.4,ug/L,2,0.5
"Barium, total",FE-4023,3/21/17,Primary,S,Metals,SW,20.4,ug/L,2,0.5
"Beryllium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4023,3/21/17,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.6,ug/L,2,0.1
"Cadmium, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.5,ug/L,2,0.1
"Calcium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,42500,ug/L,2,100
"Calcium, total",FE-4023,3/21/17,Primary,S,Metals,SW,41900,ug/L,2,100
Cation-Anion Balance,FE-4023,3/21/17,Primary,S,General Chemistry,SW,-2,%,2,-9999
"Chromium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Chromium, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Cobalt, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.3,ug/L,2,0.05
"Cobalt, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.25,ug/L,U,0.05
"Copper, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,1.8,ug/L,2,0.5
"Copper, total",FE-4023,3/21/17,Primary,S,Metals,SW,2.3,ug/L,2,0.5
"Hardness as CaCO3, T",FE-4023,3/21/17,Primary,S,General Chemistry,SW,115000,ug/L,2,200
"Iron, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4023,3/21/17,Primary,S,Metals,SW,150,ug/L,J+,20
"Lead, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.3,ug/L,2,0.1
"Lead, total",FE-4023,3/21/17,Primary,S,Metals,SW,2.6,ug/L,2,0.1
"Lithium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,3/21/17,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,2600,ug/L,2,200
"Magnesium, total",FE-4023,3/21/17,Primary,S,Metals,SW,2600,ug/L,2,200
"Manganese, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,168,ug/L,2,5
"Manganese, total",FE-4023,3/21/17,Primary,S,Metals,SW,179,ug/L,2,5
"Mercury, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Mercury, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Molybdenum, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,1.1,ug/L,2,0.5
"Molybdenum, total",FE-4023,3/21/17,Primary,S,Metals,SW,1.2,ug/L,2,0.5
"Nickel, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,2,ug/L,2,1
"Nickel, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Potassium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,500,ug/L,2,200
"Potassium, total",FE-4023,3/21/17,Primary,S,Metals,SW,500,ug/L,2,200
"TDS, measured",FE-4023,3/21/17,Primary,S,Physical,SW,184000,ug/L,2,10000
TSS,FE-4023,3/21/17,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.2,ug/L,2,0.1
"Selenium, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.3,ug/L,J+,0.1
"Silica, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,7100,ug/L,2,200
"Silica, total",FE-4023,3/21/17,Primary,S,Metals,SW,6700,ug/L,2,200
"Silver, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,2000,ug/L,2,200
"Sodium, total",FE-4023,3/21/17,Primary,S,Metals,SW,2000,ug/L,2,200
"Strontium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,396,ug/L,2,5
"Strontium, total",FE-4023,3/21/17,Primary,S,Metals,SW,398,ug/L,2,5
Sum of Anions,FE-4023,3/21/17,Primary,S,General Chemistry,SW,2.6,meq/L,2,-9999
Sum of Cations,FE-4023,3/21/17,Primary,S,General Chemistry,SW,2.5,meq/L,2,-9999
"TDS, calculated",FE-4023,3/21/17,Primary,S,Physical,SW,169000,ug/L,2,-9999
"TDS, ratio",FE-4023,3/21/17,Primary,S,Physical,SW,1090,ug/L,2,-9999
"Thallium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Thallium, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-4023,3/21/17,Primary,S,General Chemistry,SW,33100,ug/L,2,2000
"Vanadium, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Vanadium, total",FE-4023,3/21/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-4023,3/21/17,Primary,S,Metals,SW,210,ug/L,2,10
"Zinc, total",FE-4023,3/21/17,Primary,S,Metals,SW,230,ug/L,2,10
ORP,FE-4023,3/21/17,Field Measurement,S,Physical,SW,133.5,mV,1,-9999
"Oxygen, Dissolved",FE-4023,3/21/17,Field Measurement,S,Physical,SW,11700,ug/L,1,-9999
pH,FE-4023,3/21/17,Field Measurement,S,Physical,SW,7.98,SU,1,-9999
Specific Conductance,FE-4023,3/21/17,Field Measurement,S,Physical,SW,342,uS/cm,1,-9999
Temperature,FE-4023,3/21/17,Field Measurement,S,Physical,SW,4.14,C,1,-9999
Turbidity,FE-4023,3/21/17,Field Measurement,S,Physical,SW,2.88,NTU,1,-9999
"Aluminum, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,30,ug/L,U,30
"Aluminum, total",FE-4023,4/27/17,Primary,S,Metals,SW,90,ug/L,2,30
"Antimony, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Barium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,20.4,ug/L,2,0.5
"Barium, total",FE-4023,4/27/17,Primary,S,Metals,SW,20.3,ug/L,2,0.5
"Beryllium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-4023,4/27/17,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.9,ug/L,2,0.1
"Cadmium, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.9,ug/L,2,0.1
"Calcium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,37600,ug/L,2,100
"Calcium, total",FE-4023,4/27/17,Primary,S,Metals,SW,38300,ug/L,2,100
Cation-Anion Balance,FE-4023,4/27/17,Primary,S,General Chemistry,SW,-2.2,%,2,-9999
"Chromium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Chromium, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Cobalt, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.3,ug/L,2,0.05
"Cobalt, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.35,ug/L,2,0.05
"Copper, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,6.3,ug/L,2,0.5
"Copper, total",FE-4023,4/27/17,Primary,S,Metals,SW,12.3,ug/L,2,0.5
"Hardness as CaCO3, T",FE-4023,4/27/17,Primary,S,General Chemistry,SW,106000,ug/L,2,200
"Iron, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4023,4/27/17,Primary,S,Metals,SW,110,ug/L,2,20
"Lead, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,2,0.1
"Lead, total",FE-4023,4/27/17,Primary,S,Metals,SW,2.3,ug/L,2,0.1
"Lithium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,4/27/17,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,2400,ug/L,2,200
"Magnesium, total",FE-4023,4/27/17,Primary,S,Metals,SW,2400,ug/L,2,200
"Manganese, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,253,ug/L,2,5
"Manganese, total",FE-4023,4/27/17,Primary,S,Metals,SW,260,ug/L,2,5
"Mercury, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Mercury, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Molybdenum, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.8,ug/L,2,0.5
"Molybdenum, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.8,ug/L,2,0.5
"Nickel, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Nickel, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Potassium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,400,ug/L,2,200
"Potassium, total",FE-4023,4/27/17,Primary,S,Metals,SW,400,ug/L,2,200
"TDS, measured",FE-4023,4/27/17,Primary,S,Physical,SW,150000,ug/L,2,10000
TSS,FE-4023,4/27/17,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.1,ug/L,2,0.1
"Selenium, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,2,0.1
"Silica, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,6200,ug/L,2,200
"Silica, total",FE-4023,4/27/17,Primary,S,Metals,SW,6500,ug/L,J,200
"Silver, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,1600,ug/L,2,200
"Sodium, total",FE-4023,4/27/17,Primary,S,Metals,SW,1500,ug/L,2,200
"Strontium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,334,ug/L,2,5
"Strontium, total",FE-4023,4/27/17,Primary,S,Metals,SW,341,ug/L,2,5
Sum of Anions,FE-4023,4/27/17,Primary,S,General Chemistry,SW,2.3,meq/L,2,-9999
Sum of Cations,FE-4023,4/27/17,Primary,S,General Chemistry,SW,2.2,meq/L,2,-9999
"TDS, calculated",FE-4023,4/27/17,Primary,S,Physical,SW,148000,ug/L,2,-9999
"TDS, ratio",FE-4023,4/27/17,Primary,S,Physical,SW,1010,ug/L,2,-9999
"Thallium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-4023,4/27/17,Primary,S,General Chemistry,SW,28900,ug/L,2,2000
"Vanadium, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-4023,4/27/17,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-4023,4/27/17,Primary,S,Metals,SW,350,ug/L,2,10
"Zinc, total",FE-4023,4/27/17,Primary,S,Metals,SW,370,ug/L,2,10
ORP,FE-4023,4/27/17,Field Measurement,S,Physical,SW,142.5,mV,1,-9999
"Oxygen, Dissolved",FE-4023,4/27/17,Field Measurement,S,Physical,SW,11400,ug/L,1,-9999
pH,FE-4023,4/27/17,Field Measurement,S,Physical,SW,7.29,SU,1,-9999
Specific Conductance,FE-4023,4/27/17,Field Measurement,S,Physical,SW,221,uS/cm,1,-9999
Temperature,FE-4023,4/27/17,Field Measurement,S,Physical,SW,4.08,C,1,-9999
Turbidity,FE-4023,4/27/17,Field Measurement,S,Physical,SW,1.19,NTU,1,-9999
"Aluminum, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,90,ug/L,-9999,30
"Aluminum, total",FE-4023,5/31/17,Primary,S,Metals,SW,320,ug/L,-9999,30
"Antimony, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.4,ug/L,-9999,0.4
"Antimony, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.4,ug/L,-9999,0.4
"Arsenic, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.2
"Arsenic, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.4,ug/L,-9999,0.2
"Barium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,17.3,ug/L,-9999,0.5
"Barium, total",FE-4023,5/31/17,Primary,S,Metals,SW,18.3,ug/L,-9999,0.5
"Beryllium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,10,ug/L,-9999,10
"Beryllium, total",FE-4023,5/31/17,Primary,S,Metals,SW,10,ug/L,-9999,10
"Cadmium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.7,ug/L,-9999,0.1
"Cadmium, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.8,ug/L,-9999,0.1
"Calcium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,21400,ug/L,-9999,100
"Calcium, total",FE-4023,5/31/17,Primary,S,Metals,SW,20600,ug/L,-9999,100
Cation-Anion Balance,FE-4023,5/31/17,Primary,S,General Chemistry,SW,0,%,-9999,-9999
"Chromium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Chromium, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Cobalt, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.05
"Cobalt, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.25,ug/L,-9999,0.05
"Copper, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,7.9,ug/L,-9999,0.4
"Copper, total",FE-4023,5/31/17,Primary,S,Metals,SW,12.8,ug/L,-9999,0.4
"Hardness as CaCO3, T",FE-4023,5/31/17,Primary,S,General Chemistry,SW,58000,ug/L,-9999,200
"Iron, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,60,ug/L,-9999,20
"Iron, total",FE-4023,5/31/17,Primary,S,Metals,SW,250,ug/L,-9999,20
"Lead, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,1.7,ug/L,-9999,0.1
"Lead, total",FE-4023,5/31/17,Primary,S,Metals,SW,7.7,ug/L,-9999,0.1
"Lithium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,8,ug/L,-9999,8
"Lithium, total",FE-4023,5/31/17,Primary,S,Metals,SW,8,ug/L,-9999,8
"Magnesium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,1500,ug/L,-9999,200
"Magnesium, total",FE-4023,5/31/17,Primary,S,Metals,SW,1500,ug/L,-9999,200
"Manganese, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,185,ug/L,-9999,5
"Manganese, total",FE-4023,5/31/17,Primary,S,Metals,SW,240,ug/L,-9999,5
"Mercury, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.2
"Mercury, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.2
"Molybdenum, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Molybdenum, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Nickel, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.9,ug/L,-9999,0.6
"Nickel, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.6,ug/L,-9999,0.6
"Potassium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,400,ug/L,-9999,200
"Potassium, total",FE-4023,5/31/17,Primary,S,Metals,SW,500,ug/L,-9999,200
"TDS, measured",FE-4023,5/31/17,Primary,S,Physical,SW,88000,ug/L,-9999,10000
TSS,FE-4023,5/31/17,Primary,S,Physical,SW,5000,ug/L,-9999,5000
"Selenium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.1,ug/L,-9999,0.1
"Selenium, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.1,ug/L,-9999,0.1
"Silica, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,4700,ug/L,-9999,200
"Silica, total",FE-4023,5/31/17,Primary,S,Metals,SW,4900,ug/L,-9999,200
"Silver, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.05,ug/L,-9999,0.05
"Silver, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.06,ug/L,-9999,0.05
"Sodium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,1200,ug/L,-9999,200
"Sodium, total",FE-4023,5/31/17,Primary,S,Metals,SW,1100,ug/L,-9999,200
"Strontium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,188,ug/L,-9999,5
"Strontium, total",FE-4023,5/31/17,Primary,S,Metals,SW,175,ug/L,-9999,5
Sum of Anions,FE-4023,5/31/17,Primary,S,General Chemistry,SW,1.3,meq/L,-9999,-9999
Sum of Cations,FE-4023,5/31/17,Primary,S,General Chemistry,SW,1.3,meq/L,-9999,-9999
"TDS, calculated",FE-4023,5/31/17,Primary,S,Physical,SW,85200,ug/L,-9999,-9999
"Thallium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.1,ug/L,-9999,0.1
"Thallium, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.1,ug/L,-9999,0.1
Total Alkalinity,FE-4023,5/31/17,Primary,S,General Chemistry,SW,25300,ug/L,-9999,2000
"Vanadium, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.2
"Vanadium, total",FE-4023,5/31/17,Primary,S,Metals,SW,0.3,ug/L,-9999,0.2
"Zinc, dissolved",FE-4023,5/31/17,Primary,S,Metals,SW,230,ug/L,-9999,10
"Zinc, total",FE-4023,5/31/17,Primary,S,Metals,SW,260,ug/L,-9999,10
ORP,FE-4023,5/31/17,Field Measurement,S,Physical,SW,138.4,mV,-9999,-9999
"Oxygen, Dissolved",FE-4023,5/31/17,Field Measurement,S,Physical,SW,9250,ug/L,-9999,-9999
pH,FE-4023,5/31/17,Field Measurement,S,Physical,SW,6.88,SU,-9999,-9999
Specific Conductance,FE-4023,5/31/17,Field Measurement,S,Physical,SW,159,uS/cm,-9999,-9999
Temperature,FE-4023,5/31/17,Field Measurement,S,Physical,SW,7.13,C,-9999,-9999
Turbidity,FE-4023,5/31/17,Field Measurement,S,Physical,SW,4.15,NTU,-9999,-9999
"Aluminum, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,30,ug/L,-9999,30
"Aluminum, total",FE-4023,6/13/17,Primary,S,Metals,SW,200,ug/L,-9999,30
"Antimony, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.4,ug/L,-9999,0.4
"Antimony, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.4,ug/L,-9999,0.4
"Arsenic, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.2
"Arsenic, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.3,ug/L,-9999,0.2
"Barium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,18,ug/L,-9999,0.5
"Barium, total",FE-4023,6/13/17,Primary,S,Metals,SW,17.4,ug/L,-9999,0.5
"Beryllium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,10,ug/L,-9999,10
"Beryllium, total",FE-4023,6/13/17,Primary,S,Metals,SW,10,ug/L,-9999,10
"Cadmium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.9,ug/L,-9999,0.1
"Cadmium, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.9,ug/L,-9999,0.1
"Calcium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,19600,ug/L,-9999,100
"Calcium, total",FE-4023,6/13/17,Primary,S,Metals,SW,20100,ug/L,-9999,100
Cation-Anion Balance,FE-4023,6/13/17,Primary,S,General Chemistry,SW,-4,%,-9999,-9999
"Chromium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Chromium, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Cobalt, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.05
"Cobalt, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.23,ug/L,-9999,0.05
"Copper, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,3.8,ug/L,-9999,0.4
"Copper, total",FE-4023,6/13/17,Primary,S,Metals,SW,6.7,ug/L,-9999,0.4
"Hardness as CaCO3, T",FE-4023,6/13/17,Primary,S,General Chemistry,SW,57000,ug/L,-9999,200
"Iron, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,20,ug/L,-9999,20
"Iron, total",FE-4023,6/13/17,Primary,S,Metals,SW,120,ug/L,-9999,20
"Lead, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.6,ug/L,-9999,0.1
"Lead, total",FE-4023,6/13/17,Primary,S,Metals,SW,5.4,ug/L,-9999,0.1
"Lithium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,8,ug/L,-9999,8
"Lithium, total",FE-4023,6/13/17,Primary,S,Metals,SW,8,ug/L,-9999,8
"Magnesium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,1500,ug/L,-9999,200
"Magnesium, total",FE-4023,6/13/17,Primary,S,Metals,SW,1700,ug/L,-9999,200
"Manganese, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,275,ug/L,-9999,5
"Manganese, total",FE-4023,6/13/17,Primary,S,Metals,SW,319,ug/L,-9999,5
"Mercury, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.2
"Mercury, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.2,ug/L,-9999,0.2
"Molybdenum, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Molybdenum, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.5,ug/L,-9999,0.5
"Nickel, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,0.6,ug/L,-9999,0.6
"Nickel, total",FE-4023,6/13/17,Primary,S,Metals,SW,0.6,ug/L,-9999,0.6
"Potassium, dissolved",FE-4023,6/13/17,Primary,S,Metals,SW,400,ug/L,-9999,200
"Potassium, total",FE-4023,6/13/17,Primary,S,Metals,SW,600,ug/L,-9999,200
"TDS, measured",FE-4023,6/13/17,Primary,S,Physical,SW,82000,ug/L,-9999,10000
